Número de catálogo,Autor,Título,Fecha,Técnica,Soporte,Dimensión,Serie,Procedencia,UrlImagen
P007269,Anónimo,Parte superior del Pantocrátor sostenido por cuatro ángeles. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:249cm.;Ancho:327cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948",https://content3.cdnprado.net/imagenes/Documentos/imgsem/a3/a331/a331fb54-a6d4-4732-8509-daf462aa92bb/dd5afc00-81d5-4e84-aca4-5377a4722391_832.jpg
P007270,Anónimo,Parte inferior del Pantocrátor. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:249cm.;Ancho:327cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/c6/c690/c6906e66-1285-4dc9-b203-929966e4354e/0be2f38d-d36b-41b4-ae22-3d749a5f23ec_832.jpg
P007271,Anónimo,La Magdalena. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:200cm.;Ancho:263cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/0a/0ad8/0ad8f53d-8249-40b0-9e75-73d59f0ec014/ceb93c89-0476-46dd-88d8-8fc561b965d2_832.jpg
P007272,Anónimo,Adoración de un Rey Mago. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:200cm.;Ancho:185cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/ee/ee61/ee612310-a1b0-4b21-b40c-52538f31855e/f00efcc2-1cc7-4b24-954b-08a57b2b0da6_832.jpg
P007273,Anónimo,Dos apóstoles y el resto de un tercero. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:185cm.;Ancho:243cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/c7/c73c/c73c8574-3607-4efb-90fc-5fc6a888b34b/24187f09-a8b2-4f8a-a2c6-b8291fa0a00b_832.jpg
P007274,Anónimo,Dos apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:185cm.;Ancho:220cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/0c/0cd8/0cd8b144-33ad-4793-a384-40a31d28fab6/c03676de-81b0-4a1c-a094-694a1b15dd66_832.jpg
P007275,Anónimo,Caín (o Melquisedec) presentando ofrenda. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:200cm.;Ancho:200cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/80/8063/80637fe6-9592-4afa-a11c-bf4da3e0411f/251bcad3-b63f-4be3-9607-8254338b55d3_832.jpg
P007276,Anónimo,Abel presentando ofrendas. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:200cm.;Ancho:245cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/85/85ce/85ce4ccb-b34c-40fc-8e3d-4fa044f0e140/7433f88a-aa27-453a-9bce-4927692bef24_832.jpg
P007277,Anónimo,Intradós de ventana. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:140cm.;Ancho:75cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/be/bed9/bed9ff9c-1276-4578-b8d3-e38794ee751e/62f57c0a-d0c5-429f-b7c6-dc9550af9da9_832.jpg
P007278,Anónimo,Dos ángeles y un santo arzobispo. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:181cm.;Ancho:283cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/d1/d1df/d1dfbd36-33dc-437b-a147-565ecaff81a8/dca89522-162b-406f-87f6-bb7e8f0f4fe8_832.jpg
P007279,Anónimo,El evangelista San Marcos y un ángel. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:181cm.;Ancho:214cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/a3/a366/a366ec74-2325-45b4-ad9e-5cded2cb8b91/9fbdfe08-f3ea-4092-a758-3797c3eba338_832.jpg
P007280,Anónimo,Enjuta izquierda arco entrada. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:200cm.;Ancho:223cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/71/71c8/71c83952-35e1-4818-9dfb-043dbf77e802/8162bae3-bbb1-4d11-8d42-42d9a5fe1174_832.jpg
P007281,Anónimo,Enjuta derecha arco entrada. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:200cm.;Ancho:223cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/0e/0e4f/0e4f5ffb-4df5-4c46-9972-f0d836acb4d5/e75d0442-b528-4772-8715-ee39c298ebc0_832.jpg
P007283,Anónimo,Dos apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:186cm.;Ancho:252cm.,Pintura mural de la ermita la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/ac/ac0f/ac0f14a1-3d08-4686-918c-440cb1aec203/137a98e9-86b7-41f6-ac28-1d724b3dbc83_832.jpg
P007282,Anónimo,La Anunciación y ángel turiferario. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:190cm.;Ancho:308cm.,Pintura mural de la ermita la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/d4/d4af/d4afebfc-87f3-4f4e-ad46-9d36aa2835d7/a64943b5-aa94-4258-ae97-132fb5198db0_832.jpg
P007286,Anónimo,Los evangelistas San Mateo y San Lucas. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:190cm.;Ancho:189cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/29/2998/2998b2de-28a8-4120-815a-8b781be19fe1/2b7d667e-8de5-4e55-9d91-1d6a9730357f_832.jpg
P007287,Anónimo,Cuatro apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:190cm.;Ancho:274cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/5e/5e7a/5e7a1392-df41-4a25-bc54-14a0ab53dfba/ae107ed7-ebbd-4116-a136-5d83a9ba1ce4_832.jpg
P007284,Anónimo,El Pecado Original. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:203cm.;Ancho:207cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/b9/b906/b9067a97-703f-4f71-9955-c564b06fb650/43d74691-977b-461c-9deb-cf1fe0312b79_832.jpg
P007285,Anónimo,Creación de Adán. Pintura mural de la ermita de la Vera Cruz de Maderuelo,Siglo XII,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:203cm.;Ancho:239cm.,Pintura mural de la ermita de la Vera Cruz de Maderuelo.,"Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/52/52e8/52e8a064-dfad-43db-a9f9-939eeba21869/cf41b830-74be-4746-af5a-b13f15fb036d_832.jpg
P007263,Anónimo,Oso. Ermita de San Baudelio. Casillas de Berlanga (Soria),Hacia  1125,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:201cm.;Ancho:113cm.,Pinturas murales de San Baudelio de Casillas de Berlanga.,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/4b/4b67/4b67cb49-aab9-43fb-b66e-0aa56c25e66d/e29e00f7-baa3-4470-8cc2-a48a65c04870_832.jpg
P007264,Anónimo,Elefante. Ermita de San Baudelio. Casillas de Berlanga (Soria),Hacia  1125,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:205cm.;Ancho:135cm.,Pinturas murales de San Baudelio de Casillas de Berlanga.,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/ce/ce77/ce773332-e8dd-447c-bd22-b57c0778a120/d78f0a6c-aac7-499e-9484-4950c8beb00d_832.jpg
P007265,Anónimo,Cacería de liebres. Ermita de San Baudelio. Casillas de Berlanga (Soria),Hacia  1125,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:183cm.;Ancho:355cm.,Pinturas murales de San Baudelio de Casillas de Berlanga.,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/2b/2b3c/2b3c6587-3c57-4ab2-be37-5a1d0231bed8/3036af2d-48e6-433d-8a4b-881dc42953fc_832.jpg
P007266,Anónimo,Soldado o montero. Ermita de San Baudelio. Casillas de Berlanga (Soria),Hacia  1125,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:288cm.;Ancho:130cm.,Pinturas murales de San Baudelio de Casillas de Berlanga.,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/e0/e047/e047c51a-a5b9-4b19-b5b3-eaee59382be4/d555019a-c0ff-4de6-bb00-4e6979888d1d_832.jpg
P007267,Anónimo,Cortina. Ermita de San Baudelio. Casillas de Berlanga (Soria),Hacia  1125,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:156cm.;Ancho:112cm.,Pinturas murales de San Baudelio de Casillas de Berlanga.,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/a3/a3ac/a3ac59cd-8d16-4a35-bbec-05a3796d976e/368f8ab4-1fa0-4380-a900-d586f8637ab9_832.jpg
P007268,Anónimo,Cacería del ciervo. Ermita de San Baudelio. Casillas de Berlanga (Soria),Hacia  1125,Pintura al fresco,Revestimiento mural trasladado a lienzo,Alto:185cm.;Ancho:246cm.,Pinturas murales de San Baudelio de Casillas de Berlanga.,"San Baudelio de Casillas de Berlanga, Soria, 1926; Metropolitan Museum of Art, Nueva York, 1926-1957; ingresa en el Museo del Prado como depósito temporal indefinido del Metropolitan Museum of Art, 1957.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/b9/b91a/b91ac26a-9f9e-4f3a-b7af-e394601979b2/34b0cdee-e187-4235-94b0-9288060d7001_832.jpg
P008119,Maestro de Lluça(Taller de),Frontal de Solanllong. Pantocrátor con el Tetramorfos,1200 - 1210,Temple,Tabla,"Alto:102cm.;Ancho:108,3cm.",None,"Capilla de la Magdalena de Solanllong, cerca de Ripoll (Gerona); colección Esteban Planas, Olot, 1935; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/e3/e3ca/e3ca2a80-2a83-4e93-91ee-2b53472d22f3/fa29e756-d5ce-4cd3-b326-d9c5efb86a2e_832.jpg
P008126,Maestro de San Esteve de Andorra,El Lavatorio,1200 - 1215,Pintura al fresco,Revestimiento mural trasladado a lienzo,"Alto:241,5cm.;Ancho:202cm.",None,"Ábside central de la iglesia de Sant Esteve, Andorra la Vella (hasta 1924-1928); colección Ròmul Bosch i Rius, Barcelona; colección Várez Fisa, Madrid; donación Familia Várez Fisa, 2013.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/86/8610/86101742-00c2-42b8-99b9-705e6df45403/1e8c481f-af92-4d1c-a032-3f99f02e6c2d_832.jpg
P008118,Anónimo,Frontal con escenas de infancia de Jesús,Primer tercio del siglo XIII,Temple,Tabla,"Alto:104cm.;Ancho:135,5cm.",None,"Ermita mozárabe de Nuestra Señora de Peñalba, Arnedillo (La Rioja); Iglesia parroquial, Arnedillo, 1941-1945; colección Emilio Bernardo de Quirós, Madrid, 1945; colección Várez Fisa, Madrid; Donación Familia Várez Fisa, 2013.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/98/9894/9894ac85-419a-47b2-85a7-6be95ee37e16/39b74dde-7a35-48c7-b1db-708a1a92e518_832.jpg
P003055,Anónimo,Frontal de Guils,Finales del siglo XIII,Temple,Tabla,Alto:92cm.;Ancho:175cm.,None,"Iglesia de San Esteban de Guils, Cerdaña; colección Plandiura, Barcelona; adquirido por el Museo del Prado a J. A Maragall, Barcelona, 1963.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/e6/e65d/e65d6579-b6b8-40c0-9655-d9eb86772395/bc67d485-392c-403f-8ec8-209e164c6ecd_832.jpg
P003150,Anónimo,Retablo de San Cristóbal,Finales del siglo XIII,Temple,Tabla,"Alto:275,3cm.;Ancho:189,1cm.",None,"Donación José Luis Várez Fisa, 1970.",https://content3.cdnprado.net/imagenes/Documentos/imgsem/de/de26/de262360-2a18-49a5-8082-2608db378297/e6ef4e5a-a539-49b4-9fab-0771e064a451_832.jpg
P002676,"Serra, Hermanos(Atribuido a);Destorrens, Ramón(Atribuido a)",La Virgen de la Humildad con donante,Siglo XIV,Temple,Tabla,Alto:58cm.;Ancho:32cm.,None,"Legado Pablo Bosch y Barrau, 1916",https://content3.cdnprado.net/imagenes/Documentos/imgsem/89/8902/8902f9af-2730-47d1-8005-c2701cee8c62/309bf544-bb62-4da7-a17e-874834869055_832.jpg
P002944,"Traini, Francesco",La Virgen con el Niño,Hacia  1345,Dorado;Témpera,Tabla,Alto:48cm.;Ancho:42cm.,None,Colección Real,https://content3.cdnprado.net/imagenes/Documentos/imgsem/79/7928/7928cdb7-4df0-4636-a1ae-c3641361b619/37680e75-b7ee-49fd-b1d9-0fc0c69b69b4_832.jpg
